time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.Easting,.Northing,.Zone_nos,.Zone_let
2022/02/08/12:04:31.510478,134,0,0,,42.34073166666667,-71.09781,7.4,327190.63539235864,4689739.70191367,19.0,T
2022/02/08/12:04:32.490494,135,0,0,,42.34073333333333,-71.09780666666667,7.5,327190.9145568919,4689739.880209661,19.0,T
2022/02/08/12:04:33.495475,136,0,0,,42.340735,-71.09780333333333,7.7,327191.19372141064,4689740.058505664,19.0,T
2022/02/08/12:04:34.491105,137,0,0,,42.340736666666665,-71.0978,7.8,327191.4728859129,4689740.236801676,19.0,T
2022/02/08/12:04:35.490369,138,0,0,,42.340738333333334,-71.09779666666667,7.9,327191.7520504049,4689740.415097701,19.0,T
2022/02/08/12:04:36.490326,139,0,0,,42.34074,-71.09779333333333,7.9,327192.03121487825,4689740.593393736,19.0,T
2022/02/08/12:04:37.491869,140,0,0,,42.340741666666666,-71.09779,8.0,327192.3103793393,4689740.771689782,19.0,T
2022/02/08/12:04:38.503070,141,0,0,,42.340741666666666,-71.09778666666666,8.2,327192.5849778034,4689740.764915009,19.0,T
2022/02/08/12:04:39.502573,142,0,0,,42.340743333333336,-71.09778333333334,8.5,327192.8641422406,4689740.943211076,19.0,T
2022/02/08/12:04:40.504129,143,0,0,,42.340745,-71.09778166666666,8.7,327193.0060074418,4689741.12489453,19.0,T
2022/02/08/12:04:41.497958,144,0,0,,42.34074666666667,-71.09777833333334,8.9,327193.2851718559,4689741.303190612,19.0,T
2022/02/08/12:04:42.501993,145,0,0,,42.34075,-71.097775,9.1,327193.56890221324,4689741.6665575355,19.0,T
2022/02/08/12:04:43.521266,146,0,0,,42.34075166666667,-71.09777333333334,9.3,327193.7107673802,4689741.848241001,19.0,T
2022/02/08/12:04:44.503017,147,0,0,,42.340755,-71.09777,9.4,327193.9944976947,4689742.211607941,19.0,T
2022/02/08/12:04:45.502373,148,0,0,,42.340756666666664,-71.09776666666667,9.4,327194.27366203844,4689742.389904062,19.0,T
2022/02/08/12:04:46.498017,149,0,0,,42.34075833333333,-71.09776333333333,9.4,327194.55282637186,4689742.568200193,19.0,T
2022/02/08/12:04:47.497411,150,0,0,,42.34076,-71.09776,9.4,327194.8319906888,4689742.746496337,19.0,T
2022/02/08/12:04:48.516527,151,0,0,,42.340763333333335,-71.09775833333333,9.4,327194.9784217245,4689743.113250655,19.0,T
2022/02/08/12:04:49.502726,152,0,0,,42.340765,-71.097755,9.5,327195.257586007,4689743.291546814,19.0,T
2022/02/08/12:04:50.501904,153,0,0,,42.34076666666667,-71.09775166666667,9.5,327195.53675027925,4689743.469842983,19.0,T
2022/02/08/12:04:51.502813,154,0,0,,42.34077,-71.09774666666667,9.6,327195.9577796053,4689743.829822672,19.0,T
2022/02/08/12:04:52.516241,155,0,0,,42.34077166666667,-71.09774333333333,9.8,327196.2369438358,4689744.008118869,19.0,T
2022/02/08/12:04:53.535309,156,0,0,,42.340775,-71.09774,9.9,327196.52067393553,4689744.371485905,19.0,T
2022/02/08/12:04:54.504576,157,0,0,,42.34077666666666,-71.09773666666666,10.0,327196.7998381279,4689744.549782122,19.0,T
