time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Latitude,.Longitude,.Altitude,.Easting,.Northing,.Zone_nos,.Zone_let
2022/02/08/11:50:09.483687,23,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:10.485914,24,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:11.483979,25,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:12.484696,26,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:13.498938,27,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:14.485225,28,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:15.493412,29,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:16.494799,30,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:17.491872,31,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:18.506046,32,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:19.493679,33,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:20.494059,34,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:21.493905,35,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:22.494854,36,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:23.508914,37,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:24.491808,38,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:25.496243,39,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:26.494468,40,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:27.494845,41,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:28.509100,42,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:29.490209,43,0,0,,42.340673333333335,-71.09822333333334,6.8,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:30.487949,44,0,0,,42.340673333333335,-71.09822333333334,6.9,327156.4253344244,4689734.064597814,19.0,T
2022/02/08/11:50:31.488268,45,0,0,,42.340671666666665,-71.09822166666666,6.9,327156.5580668858,4689733.876138895,19.0,T
2022/02/08/11:50:32.487677,46,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
2022/02/08/11:50:33.501838,47,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
2022/02/08/11:50:34.492057,48,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
2022/02/08/11:50:35.510434,49,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
2022/02/08/11:50:36.509549,50,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
2022/02/08/11:50:37.509112,51,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
2022/02/08/11:50:38.518448,52,0,0,,42.34067666666667,-71.09821333333333,7.2,327157.25826454366,4689734.414410994,19.0,T
